,DataOri,DataClean
1,nan,unknown
2,ฉะเชิงเทรา,ฉะเชิงเทรา
3,ตาก,ตาก
4,นครราชสีมา,นครราชสีมา
5,บุรีรัมย์,บุรีรัมย์
6,จันทบุรี,จันทบุรี
7,หนองคาย,หนองคาย
8,มหาสารคาม,มหาสารคาม
9,พิจิตร,พิจิตร
10,ชลบุรี,ชลบุรี
11,สิงห์บุรี,สิงห์บุรี
12,สุราษฎร์ธานี,สุราษฎร์ธานี
13,ยโสธร,ยโสธร
14,ร้อยเอ็ด,ร้อยเอ็ด
15,ปัตตานี,ปัตตานี
16,แพร่,แพร่
17,พิษณุโลก,พิษณุโลก
18,แม่ฮ่องสอน,แม่ฮ่องสอน
19,ราชบุรี,ราชบุรี
20,ลำพูน,ลำพูน
21,สุรินทร์,สุรินทร์
22,ระยอง,ระยอง
23,เพชรบุรี,เพชรบุรี
24,ปทุมธานี,ปทุมธานี
25,สระบุรี,สระบุรี
26,ขอนแก่น\xa0,ขอนแก่น
27,ภูเก็ต,ภูเก็ต
28,ชุมพร,ชุมพร
29,ปราจีนบุรี,ปราจีนบุรี
30,สระแก้ว,สระแก้ว
31,นราธิวาส,นราธิวาส
32,หนองบัวลำภู,หนองบัวลำภู
33,ระนอง,ระนอง
34,สงขลา,สงขลา
35,สมุทรสงคราม,สมุทรสงคราม
36,นครพนม,นครพนม
37,อุทัยธานี,อุทัยธานี
38,ขอนแก่น,ขอนแก่น
39,กรุงเทพมหานคร,กรุงเทพมหานคร
40,ศรีสะเกษ,ศรีสะเกษ
41,อ่างทอง,อ่างทอง
42,นครสวรรค์,นครสวรรค์
43,นนทบุรี,นนทบุรี
44,ตรัง,ตรัง
45,พัทลุง,พัทลุง
46,กำแพงเพชร,กำแพงเพชร
47,สุโขทัย,สุโขทัย
48,อุบลราชธานี,อุบลราชธานี
49,สกลนคร,สกลนคร
50,อุตรดิตถ์,อุตรดิตถ์
51,พระนครศรีอยุธยา,พระนครศรีอยุธยา
52,พังงา,พังงา
53,อุดรธานี,อุดรธานี
54,ตราด,ตราด
55,สมุทรสาคร,สมุทรสาคร
56,นครศรีธรรมราช,นครศรีธรรมราช
57,สมุทรปราการ,สมุทรปราการ
58,กาฬสินธุ์,กาฬสินธุ์
59,เลย,เลย
60,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์
61,นครนายก,นครนายก
62,ชัยภูมิ,ชัยภูมิ
63,ภููเก็ต,ภูเก็ต
64,ลำปาง,ลำปาง
65,เพชรบูรณ์,เพชรบูรณ์
66,ชัยนาท,ชัยนาท
67,สตูล,สตูล
68,เชียงใหม่,เชียงใหม่
69,กระบี่,กระบี่
70,กทม,กรุงเทพมหานคร
71,อำนาจเจริญ,อำนาจเจริญ
72,น่าน,น่าน
73,เชียงราย,เชียงราย
74,ลพบุรี,ลพบุรี
75,พะเยา,พะเยา
76,กาญจนบุรี,กาญจนบุรี
77,บึงกาฬ,บึงกาฬ
78,มุกดาหาร,มุกดาหาร
79,สุพรรณบุรี,สุพรรณบุรี
80,นครปฐม,นครปฐม
81,ยะลา,ยะลา
