,DataOri,DataClean,label
1,nan,unknown,
2,นครปบม,นครปฐม,
3,ต่างจังหวัด,unknown,ออ
4,ประจวบคิรีขันธ์,ประจวบคีรีขันธ์,
5,พัังงา,พังงา,
6,นนทบุรี\xa0,นนทบุรี,
7,กรุงเทพ,กรุงเทพมหานคร,
8,จันทบุรี,จันทบุรี,
9,มหาสารคาม,มหาสารคาม,
10,พิจิตร,พิจิตร,
11,หนองบัวภู,หนองบัวลําภู,
12,เมืองตาก,ตาก,
13,นตรนายก,นครนายก,
14,สิงห์บุรี,สิงห์บุรี,
15,ราชเทวี,กรุงเทพมหานคร,ตบ
16,ปอยเปต,ต่างประเทศ,ตท
17,สระบุรี\xa0,สระบุรี,
18,ศีรสะเกษ,ศีรสะเกษ,
19,แพร่,แพร่,
20,นคนปฐม,นครปฐม,
21,จ.กรุงเทพมหานคร,กรุงเทพมหานคร,
22,กาฬสินธุ์\xa0,กาฬสินธุ์,
23,บุรีรีมย์,บุรีรัมย์,
24,อ่างทอง\xa0,อ่างทอง,
25,สุรินทร์,สุรินทร์,
26,สุระบุรี,สระบุรี,
27,ปทุมธานี\xa0,ปทุมธานี,
28,เพชรบุรี,เพชรบุรี,
29,ขอนแก่น\xa0,ขอนแก่น,
30,สมุทรปรากา,สมุทรปราการ,
31,ภูเก็ต,ภูเก็ต,
32,บางกรวย,นนทบุรี,ตบ
33,กรุงเทพมหานคร. / พระนครศรีอยุธยา,หลายจังหวัด,
34,อำนาญเจริญ,อำนาจเจริญ,
35,กาฬสินธ์,กาฬสินธุ์,
36,สมุทรสงคราม,สมุทรสงคราม,
37,ปทึมธานี,ปทุมธานี,
38,ศรีสะเกษ,ศรีสะเกษ,
39,สวิสเซอร์แลนด์,ต่างประเทศ,ตท
40,นครศรีธรมราช,นครศรีธรรมราช,
41,แม่ทะ,ลำปาง,ตบ
42,สมุุทรสงคราม,สมุทรสงคราม,
43,สมุทราสาคร,สมุทรสาคร,
44,สุพรรณบุรั,สุพรรณบุรี,
45,สครสวรรค์,นครสวรรค์,
